User,Tweet,Date
Xinqi Su 蘇昕琪,"NPCSC will discuss on next Monday and Tuesday drafted amendments on Annex I and II of HK’s Basic Law concerning elections of the city’s leader and lawmakers - state news agency 

https://t.co/hGK3xe4WdK",2021-03-22 12:01:13
Xinqi Su 蘇昕琪,"Chow Hang-tung, barrister and member of @save12hkyouths :  

The remaining 2 of the #12HKers Quinn Moon and Tang Kai-yin are serving in Guangdong Province Women's Prison and Conghua Prison respectively. 

They are expected to be released in 2022 and 2023.",2021-03-22 10:21:05
Xinqi Su 蘇昕琪,"Chow Hang-tung, barrister and member of @save12hkyouths : 

""So far only one family has got a call from their son."" 

""Andy Li had his testimony taken without lawyer's presence."" 

""Lawyers had to call every single police station to look for their clients."" https://t.co/XesRHa3HVD",2021-03-22 10:11:38
Xinqi Su 蘇昕琪,"Chow Hang-tung, barrister and member of @save12hkyouths :

""HK police refused to tell families arrangement of handover though families had been asking in the past few days.""

""HK police said no one had returned when families called around noon, which is apparently a lie."" https://t.co/Sn5UNLcoml",2021-03-22 10:09:41
Xinqi Su 蘇昕琪,"Right after Shenzhen police confirmed the deportation, HK police finally confirmed they received the 8 HKers. https://t.co/zN0qV3t4hB",2021-03-22 09:22:01
Xinqi Su 蘇昕琪,"#BREAKING Shenzhen Yantian District police said the 8 HKers sentenced to 7 months in jail for “illegal border crossing” have completed their jail term today and deported in batches.

HK police are yet to confirm anything. https://t.co/COO10MNV9W",2021-03-22 09:19:26
Xinqi Su 蘇昕琪,Someone whose head is covered with a black hood was taken into Tin Shui Wai Police Station after the last batch of cars taking the rest of the 8 HKers handed over from Shenzhen arrived. https://t.co/94T67FtIEv,2021-03-22 09:04:51
Xinqi Su 蘇昕琪,"As the last batch of cars taking the rest of 8 HKers handed over from Shenzhen is on its way to Tin Shui Wai Police Station, a man whose head is covered was just let into a police car in the station. https://t.co/q3RwRvmt1E",2021-03-22 08:59:54
Xinqi Su 蘇昕琪,"Re “green and innovative”, Lantau Tomorrow is a huge reclamation project aiming to create 1,700 hectares of land on seas around Lantau Island, which has been repeatedly warned of threats it will bring to the city’s climate, environment and ecology. https://t.co/G9AVDB5GL8",2021-03-22 08:53:49
Xinqi Su 蘇昕琪,Third batch of 6 private cars arrived in Tin Shui Wai Police Station with some of the 8 HKers who have served 7 months in prison in Shenzhen. https://t.co/agLnBc8KqR,2021-03-22 08:26:26
Xinqi Su 蘇昕琪,Second batch of 4 7seaters has arrived in Tin Shui Wai Police Station. An @appledaily_hk reporter doing live at checkpoint said PPRB officers there said 3 of the 8 HKers jailed for 7 months in Shenzhen are in this batch. https://t.co/o64PCppIM3,2021-03-22 07:27:37
Xinqi Su 蘇昕琪,Improve quality of whose audio ? https://t.co/HbvvmIOwBo,2021-03-22 06:01:47
Xinqi Su 蘇昕琪,"iCable News reported per source that Andy Li, who was arrested under #NSL for alleged ""collusion with foreign forces"" but had not been charged before he boarded the speedboat, has been handed over from Shenzhen to HK.",2021-03-22 03:32:24
Xinqi Su 蘇昕琪,The 1st 7seater carrying some of the 8HKers jailed in Shenzhen for the past 7 months has arrived in Tin Shui Wai Police Station. National Security Police Unit SSP Li Kwai-wah was seen in the station. https://t.co/UZQpjUY2lq,2021-03-22 02:33:18
Xinqi Su 蘇昕琪,First 7seater carrying some of the 8 HKers handed over from Shenzhen to HK after 7 months in jail for ''illegal border crossing'' has left checkpoint for Tin Shui Wai Police Station. Two more are expected at 3pm and 5pm this afternoon. https://t.co/Z5jcxM7XYy,2021-03-22 02:12:01
